2023-06-24 10:45:15.857  INFO -- [RMI TCP Connection(23)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 10:57:58.108  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 10:57:58.252  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 10:57:58.253  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 10:57:58.266  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN).PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 10:58:07.846  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 10:58:07.847  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:02:32.264  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:02:32.264  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:02:32.264  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:02:32.264  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:02:32.274  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:02:32.275  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:02:32.304  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN).PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN).PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\TEST.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 11:02:36.127  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:02:36.127  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:05:31.992  INFO -- [http-nio-8081-exec-8] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:05:31.993  INFO -- [http-nio-8081-exec-8] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:05:31.993  INFO -- [http-nio-8081-exec-8] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:05:31.993  INFO -- [http-nio-8081-exec-8] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:05:32.000  INFO -- [http-nio-8081-exec-8] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:05:32.000  INFO -- [http-nio-8081-exec-8] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:05:32.046  INFO -- [http-nio-8081-exec-8] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:05:32.046  INFO -- [http-nio-8081-exec-8] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:05:42.832  INFO -- [http-nio-8081-exec-9] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:05:42.832  INFO -- [http-nio-8081-exec-9] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:05:42.832  INFO -- [http-nio-8081-exec-9] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:05:42.832  INFO -- [http-nio-8081-exec-9] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:05:42.840  INFO -- [http-nio-8081-exec-9] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:05:42.840  INFO -- [http-nio-8081-exec-9] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:05:42.868  INFO -- [http-nio-8081-exec-9] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) (1).PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN).PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04G08B71641H32465-(UNKNOWN) (1).TIFF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\TEST.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 11:05:47.922  INFO -- [http-nio-8081-exec-9] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:05:47.922  INFO -- [http-nio-8081-exec-9] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:07:20.271  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:07:20.272  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:07:20.272  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:07:20.272  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:07:20.377  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:07:20.377  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:07:20.387  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04G08B71641H32465-(UNKNOWN) (1).TIFF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\TEST.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 11:07:25.330  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:07:25.331  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:14:14.765  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:14:14.765  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:14:14.766  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:14:14.766  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:14:14.772  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:14:14.772  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:14:14.783  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN).PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 11:14:19.257  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:14:19.258  INFO -- [http-nio-8081-exec-4] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:16:36.633  INFO -- [RMI TCP Connection(28)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 11:16:36.648  INFO -- [RMI TCP Connection(28)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 11:16:36.649  INFO -- [RMI TCP Connection(28)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-24 11:16:42.731  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 14980 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 11:16:42.734  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 11:16:43.466  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 11:16:43.474  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 11:16:43.474  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 11:16:43.542  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 11:16:43.542  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 766 ms
2023-06-24 11:16:43.890  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 11:16:43.900  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 1.549 seconds (process running for 2.235)
2023-06-24 11:17:24.522  INFO -- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-24 11:17:24.523  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-06-24 11:17:24.524  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-06-24 11:17:24.618  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:17:24.618  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:17:24.619  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:17:24.619  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:17:24.801  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:17:24.801  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:17:24.827  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) (1).PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN).PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 11:17:39.254  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:17:39.254  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:18:49.434  INFO -- [http-nio-8081-exec-7] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:18:49.435  INFO -- [http-nio-8081-exec-7] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:18:49.435  INFO -- [http-nio-8081-exec-7] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:18:49.435  INFO -- [http-nio-8081-exec-7] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:18:49.441  INFO -- [http-nio-8081-exec-7] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:18:49.441  INFO -- [http-nio-8081-exec-7] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:18:49.493  INFO -- [http-nio-8081-exec-7] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) (1) - Copy - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) (1) - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) (2) - Copy.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 11:18:58.056  INFO -- [http-nio-8081-exec-7] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:18:58.056  INFO -- [http-nio-8081-exec-7] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:44:24.886  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 11:44:24.887  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 11:44:24.887  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 11:44:24.887  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 11:44:24.894  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 11:44:24.894  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 11:44:25.029  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) (1) - Copy - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) (1) - Copy.PDF], file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN) (2) - Copy.PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 11:44:34.663  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 11:44:34.663  INFO -- [http-nio-8081-exec-2] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 11:54:07.644  INFO -- [RMI TCP Connection(47)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 11:54:07.681  INFO -- [RMI TCP Connection(47)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 11:54:07.684  INFO -- [RMI TCP Connection(47)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-24 11:54:19.221  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 9400 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 11:54:19.225  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 11:54:20.231  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 11:54:20.242  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 11:54:20.242  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 11:54:20.356  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 11:54:20.357  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1062 ms
2023-06-24 11:54:20.902  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 11:54:20.914  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 2.194 seconds (process running for 2.978)
2023-06-24 11:55:14.224  INFO -- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-24 11:55:14.225  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
